CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 10:51:54 PM,,,,,,,,,,,,,,,,,,,,,
Station,"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,
Parameter,"AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:20:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Anand Vihar, New Delhi - DPCC",,,,,,,,,,,,,,,,,,,,,
 , ,,Anand Vihar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P-Xylene,NH3,NO,NO2,NOx,Ozone,SO2
15-05-2013 00:00,16-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
16-05-2013 00:00,17-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
17-05-2013 00:00,18-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
18-05-2013 00:00,19-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
19-05-2013 00:00,20-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
20-05-2013 00:00,21-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
21-05-2013 00:00,22-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
22-05-2013 00:00,23-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
23-05-2013 00:00,24-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
24-05-2013 00:00,25-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
25-05-2013 00:00,26-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
26-05-2013 00:00,27-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,AV,,,,,,,,,,,,,,,,,,,
