CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,,,,,
Time: 10:53:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Station,"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,
Parameter,"WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene",,,,,,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:21:59Z 00:00,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Aya Nagar, New Delhi - IMD",,,,,,,,,,,,,,,,,,,,,,,,,
 , ,,Aya Nagar , , , , ,,,,,,,,,,,,,,,,,,
From Date,To Date,Code,WS,WD,Gust,Variance,AT,RH,SR,BP,PP Accum,Power,PM10,PM2.5,NO,NO2,NOx,CO,CO2,Ozone,Black Carbon,Benzene,Toluene,Eth-Benzene,Xylene
26-05-2013 00:00,27-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
27-05-2013 00:00,28-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
28-05-2013 00:00,29-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
29-05-2013 00:00,30-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
30-05-2013 00:00,31-05-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
31-05-2013 00:00,01-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
01-06-2013 00:00,02-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
02-06-2013 00:00,03-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
03-06-2013 00:00,04-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
04-06-2013 00:00,05-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
05-06-2013 00:00,06-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
06-06-2013 00:00,07-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
07-06-2013 00:00,08-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
08-06-2013 00:00,09-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
09-06-2013 00:00,10-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
10-06-2013 00:00,11-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
11-06-2013 00:00,12-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
12-06-2013 00:00,13-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
13-06-2013 00:00,14-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
14-06-2013 00:00,15-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
15-06-2013 00:00,16-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
16-06-2013 00:00,17-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
17-06-2013 00:00,18-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,AYA,,,,,,,,,,,,,,,,,,,,,,,
