CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,
Time: 01:33:59 AM,,,,,,,,,,,,,,,,
Station,"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,AT,SO2,Benzene,Toluene,NH3",,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,
To,01-01-2018 T15:01:59Z 00:00,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Mandir Marg, New Delhi - DPCC",,,,,,,,,,,,,,,,
 , ,,Mandir Marg , , , , ,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Toluene,NH3
17-06-2013 00:00,18-06-2013 00:00,MM,,,,,,,,,,,,,,
18-06-2013 00:00,19-06-2013 00:00,MM,,,,,,,,,,,,,,
19-06-2013 00:00,20-06-2013 00:00,MM,,,,,,,,,,,,,,
20-06-2013 00:00,21-06-2013 00:00,MM,,,,,,,,,,,,,,
21-06-2013 00:00,22-06-2013 00:00,MM,,,,,,,,,,,,,,
22-06-2013 00:00,23-06-2013 00:00,MM,,,,,,,,,,,,,,
23-06-2013 00:00,24-06-2013 00:00,MM,,,,,,,,,,,,,,
24-06-2013 00:00,25-06-2013 00:00,MM,,,,,,,,,,,,,,
25-06-2013 00:00,26-06-2013 00:00,MM,,,,,,,,,,,,,,
26-06-2013 00:00,27-06-2013 00:00,MM,,,,,,,,,,,,,,
27-06-2013 00:00,28-06-2013 00:00,MM,,,,,,,,,,,,,,
28-06-2013 00:00,29-06-2013 00:00,MM,,,,,,,,,,,,,,
29-06-2013 00:00,30-06-2013 00:00,MM,,,,,,,,,,,,,,
30-06-2013 00:00,01-07-2013 00:00,MM,,,,,,,,,,,,,,
01-07-2013 00:00,02-07-2013 00:00,MM,,,,,,,,,,,,,,
02-07-2013 00:00,03-07-2013 00:00,MM,,,,,,,,,,,,,,
03-07-2013 00:00,04-07-2013 00:00,MM,,,,,,,,,,,,,,
04-07-2013 00:00,05-07-2013 00:00,MM,,,,,,,,,,,,,,
05-07-2013 00:00,06-07-2013 00:00,MM,,,,,,,,,,,,,,
06-07-2013 00:00,07-07-2013 00:00,MM,,,,,,,,,,,,,,
07-07-2013 00:00,08-07-2013 00:00,MM,,,,,,,,,,,,,,
08-07-2013 00:00,09-07-2013 00:00,MM,,,,,,,,,,,,,,
09-07-2013 00:00,10-07-2013 00:00,MM,,,,,,,,,,,,,,
10-07-2013 00:00,11-07-2013 00:00,MM,,,,,,,,,,,,,,
11-07-2013 00:00,12-07-2013 00:00,MM,,,,,,,,,,,,,,
12-07-2013 00:00,13-07-2013 00:00,MM,,,,,,,,,,,,,,
13-07-2013 00:00,14-07-2013 00:00,MM,,,,,,,,,,,,,,
14-07-2013 00:00,15-07-2013 00:00,MM,,,,,,,,,,,,,,
15-07-2013 00:00,16-07-2013 00:00,MM,,,,,,,,,,,,,,
16-07-2013 00:00,17-07-2013 00:00,MM,,,,,,,,,,,,,,
17-07-2013 00:00,18-07-2013 00:00,MM,,,,,,,,,,,,,,
18-07-2013 00:00,19-07-2013 00:00,MM,,,,,,,,,,,,,,
19-07-2013 00:00,20-07-2013 00:00,MM,,,,,,,,,,,,,,
20-07-2013 00:00,21-07-2013 00:00,MM,,,,,,,,,,,,,,
21-07-2013 00:00,22-07-2013 00:00,MM,,,,,,,,,,,,,,
22-07-2013 00:00,23-07-2013 00:00,MM,,,,,,,,,,,,,,
23-07-2013 00:00,24-07-2013 00:00,MM,,,,,,,,,,,,,,
24-07-2013 00:00,25-07-2013 00:00,MM,,,,,,,,,,,,,,
25-07-2013 00:00,26-07-2013 00:00,MM,,,,,,,,,,,,,,
26-07-2013 00:00,27-07-2013 00:00,MM,,,,,,,,,,,,,,
27-07-2013 00:00,28-07-2013 00:00,MM,,,,,,,,,,,,,,
28-07-2013 00:00,29-07-2013 00:00,MM,,,,,,,,,,,,,,
29-07-2013 00:00,30-07-2013 00:00,MM,,,,,,,,,,,,,,
30-07-2013 00:00,31-07-2013 00:00,MM,,,,,,,,,,,,,,
31-07-2013 00:00,01-08-2013 00:00,MM,,,,,,,,,,,,,,
01-08-2013 00:00,02-08-2013 00:00,MM,,,,,,,,,,,,,,
02-08-2013 00:00,03-08-2013 00:00,MM,,,,,,,,,,,,,,
03-08-2013 00:00,04-08-2013 00:00,MM,,,,,,,,,,,,,,
04-08-2013 00:00,05-08-2013 00:00,MM,,,,,,,,,,,,,,
05-08-2013 00:00,06-08-2013 00:00,MM,,,,,,,,,,,,,,
06-08-2013 00:00,07-08-2013 00:00,MM,,,,,,,,,,,,,,
07-08-2013 00:00,08-08-2013 00:00,MM,,,,,,,,,,,,,,
08-08-2013 00:00,09-08-2013 00:00,MM,,,,,,,,,,,,,,
09-08-2013 00:00,10-08-2013 00:00,MM,,,,,,,,,,,,,,
10-08-2013 00:00,11-08-2013 00:00,MM,,,,,,,,,,,,,,
11-08-2013 00:00,12-08-2013 00:00,MM,,,,,,,,,,,,,,
